Episode 96, Reward: -3.89, Steps: 51, Epsilon: 0.999
Episode 97, Reward: -22.82, Steps: 75, Epsilon: 0.999
Episode 98, Reward: -17.06, Steps: 47, Epsilon: 0.999
Episode 99, Reward: -13.06, Steps: 56, Epsilon: 0.999
Episode 100, Reward: -21.36, Steps: 64, Epsilon: 0.999
Episode 101, Reward: -4.47, Steps: 52, Epsilon: 0.999
Episode 102, Reward: -5.08, Steps: 95, Epsilon: 0.999
Episode 103, Reward: -7.89, Steps: 63, Epsilon: 0.999
Episode 104, Reward: -12.29, Steps: 40, Epsilon: 0.999
Episode 105, Reward: -9.44, Steps: 70, Epsilon: 0.999
Episode 106, Reward: -5.14, Steps: 66, Epsilon: 0.999
Episode 107, Reward: -20.97, Steps: 72, Epsilon: 0.999
Episode 108, Reward: -4.86, Steps: 58, Epsilon: 0.999
Episode 109, Reward: -2.94, Steps: 38, Epsilon: 0.999
Episode 110, Reward: -3.31, Steps: 27, Epsilon: 0.999
Episode 111, Reward: -9.26, Steps: 68, Epsilon: 0.999
Episode 112, Reward: -13.63, Steps: 46, Epsilon: 0.999
Episode 113, Reward: -5.06, Steps: 43, Epsilon: 0.998
Episode 114, Reward: -5.22, Steps: 45, Epsilon: 0.998
Episode 115, Reward: -39.59, Steps: 144, Epsilon: 0.998
Episode 116, Reward: -9.78, Steps: 95, Epsilon: 0.998
Episode 117, Reward: -5.03, Steps: 39, Epsilon: 0.998
Episode 118, Reward: -7.03, Steps: 65, Epsilon: 0.998
Episode 119, Reward: -14.42, Steps: 121, Epsilon: 0.998
Episode 120, Reward: -20.36, Steps: 87, Epsilon: 0.998
Episode 121, Reward: -13.49, Steps: 54, Epsilon: 0.998
Episode 122, Reward: -26.72, Steps: 81, Epsilon: 0.998
Episode 123, Reward: -4.19, Steps: 43, Epsilon: 0.998
Episode 124, Reward: -25.56, Steps: 92, Epsilon: 0.998
Episode 125, Reward: -10.64, Steps: 71, Epsilon: 0.998
Episode 126, Reward: -3.92, Steps: 65, Epsilon: 0.998
Episode 127, Reward: -19.02, Steps: 102, Epsilon: 0.998
Episode 128, Reward: -1.58, Steps: 20, Epsilon: 0.998
Episode 129, Reward: -6.06, Steps: 53, Epsilon: 0.998
Episode 130, Reward: -35.82, Steps: 108, Epsilon: 0.998
Episode 131, Reward: -36.36, Steps: 96, Epsilon: 0.998
Episode 132, Reward: -8.11, Steps: 57, Epsilon: 0.998
Episode 133, Reward: -8.32, Steps: 87, Epsilon: 0.998
Episode 134, Reward: -8.00, Steps: 76, Epsilon: 0.998
Episode 135, Reward: -2.47, Steps: 36, Epsilon: 0.998
Episode 136, Reward: -20.73, Steps: 129, Epsilon: 0.998
Episode 137, Reward: -17.31, Steps: 66, Epsilon: 0.998
Episode 138, Reward: -2.39, Steps: 50, Epsilon: 0.998
Episode 139, Reward: -4.78, Steps: 64, Epsilon: 0.998
Episode 140, Reward: -12.25, Steps: 28, Epsilon: 0.998
Episode 141, Reward: -18.01, Steps: 61, Epsilon: 0.998
Episode 142, Reward: -18.19, Steps: 46, Epsilon: 0.998
Episode 143, Reward: -35.67, Steps: 95, Epsilon: 0.998
Episode 144, Reward: -21.70, Steps: 92, Epsilon: 0.998
Episode 145, Reward: -12.03, Steps: 53, Epsilon: 0.998
